,App,Category,Rating,Reviews,Size,Installs,Type,Price,Age_group,Genres,Last Updated,Current Ver,Android Ver
6895,BW-Go,GAME,4.8,265,1.3M,"1,000+",Paid,3.49,Everyone,Board,18-Jun-15,4.8.1,2.3 and up
6911,Beautiful Widgets Pro,PERSONALIZATION,4.2,97890,14M,"1,000,000+",Paid,2.49,Everyone,Personalization,24-Aug-16,5.7.8,2.3 and up
6925,BlackCam Pro - B&W Camera,PHOTOGRAPHY,4.5,1376,5.5M,"100,000+",Paid,1.49,Everyone,Photography,26-Mar-18,1.51,4.0 and up
6943,Bixby Button Remapper - bxActions Pro / Coffee,TOOLS,3.9,319,25k,"10,000+",Paid,2.99,Everyone,Tools,28-Apr-17,1,7.0 and up
6948,Bitcoin BX Thailand PRO,FINANCE,1.7,21,21M,100+,Paid,4.99,Everyone,Finance,22-Oct-17,5,4.0.3 and up
6974,Lollipop Launcher Plus,PERSONALIZATION,4.1,131,27k,"1,000+",Paid,4.99,Everyone,Personalization,8-Mar-15,1,4.0.3 and up
7037,BZ Reminder PRO,BUSINESS,4.8,726,5.4M,"1,000+",Paid,3.99,Everyone,Business,20-Dec-17,2.3.3,4.1 and up
7097,California Cop Assist CA Cop,PRODUCTIVITY,3.0,5,7.0M,100+,Paid,4.99,Everyone,Productivity,11-Feb-14,1.3,2.2 and up
7165,My Movies Pro - Movie & TV Collection Library,LIFESTYLE,4.6,6477,20M,"10,000+",Paid,7.99,Everyone,Lifestyle,16-Jul-18,2.26 Build 17,4.1 and up
7183,Билеты ПДД CD 2019 PRO,AUTO_AND_VEHICLES,,21,16M,100+,Paid,1.49,Everyone,Auto & Vehicles,27-Jul-18,1.49,4.0 and up
7196,PAC-MAN CE DX,GAME,4.5,1692,36M,"10,000+",Paid,4.99,Everyone,Arcade,23-Apr-18,1.1.0,4.0.3 and up
7198,Theatre of the Absurd CE(Full),FAMILY,4.1,1143,15M,"10,000+",Paid,2.99,KIDS,Casual,21-May-13,1,2.0.1 and up
7204,TI-84 CE Graphing Calculator Manual TI 84,FAMILY,5.0,1,27M,100+,Paid,4.99,Everyone,Education,28-Mar-18,1.5.2,4.1 and up
7211,AC CE BJT Actorial,FAMILY,,1,1.4M,50+,Paid,2.0,Everyone,Education,27-Sep-15,2.4,1.6 and up
7215,Depths of Betrayal CE (Full),FAMILY,4.3,363,14M,"1,000+",Paid,2.99,KIDS,Casual,19-Aug-13,1.0.0,2.3 and up
7225,CE Genius Nurses Edition,MEDICAL,,0,5.1M,1+,Paid,3.99,Everyone,Medical,1-Jun-18,1.5,4.0.3 and up
7233,"Führerschein Klasse CE, LKW 2018",FAMILY,,57,Varies with device,"1,000+",Paid,2.49,Everyone,Education,9-Apr-18,4.2.0,Varies with device
7237,CF-Bench Pro,TOOLS,4.6,159,29k,"1,000+",Paid,1.49,Everyone,Tools,23-Jun-11,1.1,1.6 and up
7255,Squeezy CF,MEDICAL,,0,1.4M,10+,Paid,2.99,Everyone,Medical,26-Apr-17,1.2.11,4.0 and up
7328,"Ultimate Public Campgrounds (Over 37,100 in US&CA)",TRAVEL_AND_LOCAL,4.7,213,6.1M,"5,000+",Paid,3.99,Everyone,Travel & Local,5-Aug-18,1.8.8.0,4.4 and up
7332,Weather Data CH,WEATHER,,15,Varies with device,500+,Paid,2.99,Everyone,Weather,9-Aug-16,Varies with device,Varies with device
7335,Dive-Store.ch,SPORTS,,0,6.3M,5+,Paid,1.99,Everyone,Sports,25-Jul-18,2.0.4,4.0 and up
7339,"Reading Race 1b: sh, ch words",FAMILY,,2,76M,50+,Paid,3.99,Everyone,Educational;Education,8-Jan-16,1.01,4.0 and up
7342,Speech Therapy: CH,FAMILY,,0,14M,10+,Paid,1.99,Everyone,Education,8-Oct-16,1,2.3.3 and up
7346,ch-mm Dict,BOOKS_AND_REFERENCE,,0,1.4M,10+,Paid,1.96,Everyone,Books & Reference,18-Jul-14,1,2.3 and up
7347,boattheory.ch Full 2018,FAMILY,4.7,54,50M,"1,000+",Paid,19.4,Everyone,Education,18-Nov-17,3.1.2,4.2 and up
7355,Threema,COMMUNICATION,4.5,51110,Varies with device,"1,000,000+",Paid,2.99,Everyone,Communication,3-Aug-18,Varies with device,Varies with device
7356,Battery HD Pro,TOOLS,4.7,17861,Varies with device,"100,000+",Paid,3.99,Everyone,Tools,6-May-18,Varies with device,Varies with device
7357,DRAGON QUEST IV,FAMILY,4.7,1647,16M,"10,000+",Paid,14.99,Everyone,Role Playing,28-Feb-17,1.0.5,2.3 and up
7359,Automagic * Automation,TOOLS,4.7,1947,Varies with device,"10,000+",Paid,3.9,Everyone,Tools,19-May-18,Varies with device,Varies with device
7360,FlashLight HD LED Pro,TOOLS,4.7,4928,Varies with device,"50,000+",Paid,2.99,Everyone,Tools,28-Jul-18,Varies with device,Varies with device
7375,Paris ci la Sortie du Métro,MAPS_AND_NAVIGATION,4.2,453,36M,"10,000+",Paid,2.99,Everyone,Maps & Navigation,2-Apr-18,4.3,4.1 and up
7477,USMLE Step 2 CK Flashcards,FAMILY,5.0,1,40M,10+,Paid,19.99,Everyone,Education,26-May-14,2.47,2.2 and up
7538,CM Launcher 3D Pro💎,PERSONALIZATION,4.7,23802,173k,"100,000+",Paid,4.99,Everyone,Personalization,17-Nov-16,1.0.9,4.0 and up
7555,Swift Dark CM / CM13 Theme,PERSONALIZATION,4.7,1500,41M,"10,000+",Paid,1.99,Everyone,Personalization,5-Jan-17,3.3.3,5.0 and up
7578,CM FILE MANAGER Pro,BUSINESS,4.2,2359,2.7M,"10,000+",Paid,2.99,Everyone,Business,16-Feb-16,1.16.9,1.6 and up
7584,Teen Titans GO Figure!,FAMILY,4.5,1985,28M,"10,000+",Paid,3.99,KIDS,Action;Action & Adventure,18-Jul-18,1.0.2,5.1 and up
7585,CN Superstar Soccer: Goal!!!,FAMILY,4.1,3863,41M,"100,000+",Paid,2.99,Everyone,Sports;Action & Adventure,24-May-18,1.1.1,4.1 and up
7586,Teeny Titans - Teen Titans Go!,FAMILY,4.6,20463,25M,"100,000+",Paid,3.99,KIDS,Strategy;Action & Adventure,18-Jul-18,1.2.1,4.1 and up
7614,Rockstars of Ooo,FAMILY,3.4,642,26M,"10,000+",Paid,1.99,KIDS,Arcade;Action & Adventure,11-Aug-15,1.0.2,2.3.3 and up
7617,Flipped Out! - Powerpuff Girls,FAMILY,4.4,412,22M,"10,000+",Paid,2.99,KIDS,Action;Action & Adventure,30-Jun-16,1.0.2,4.0 and up
7618,Adventure Time Game Wizard,GAME,4.1,4107,40M,"50,000+",Paid,4.99,Everyone,Adventure,16-Jul-15,1.2.0,4.1 and up
7619,Best Park in the Universe,GAME,4.3,3904,5.5M,"10,000+",Paid,2.99,KIDS,Action,10-Sep-14,1.2.1,4.0 and up
7620,Formula Cartoon All Stars,FAMILY,3.9,1213,18M,"10,000+",Paid,2.99,Everyone,Racing;Action & Adventure,25-Jun-15,4.1.2,2.3.3 and up
7627,Tetrobot and Co.,FAMILY,4.5,709,18M,"5,000+",Paid,2.99,Everyone,Puzzle,20-Apr-15,1.1.2,2.3 and up
7629,Wuwu & Co.,FAMILY,,9,77M,100+,Paid,2.99,Everyone,Books & Reference;Creativity,22-Mar-17,2.49,4.1 and up
7658,SharedCare™ Co-parenting,PARENTING,2.0,23,Varies with device,100+,Paid,4.59,Everyone,Parenting,19-Jun-16,3.0.3,4.0 and up
7738,10 WPM Amateur ham radio CW Morse code trainer,COMMUNICATION,3.5,10,3.8M,100+,Paid,1.49,Everyone,Communication,12-May-18,2.1.4,2.1 and up
7745,25WPM Amateur ham radio Koch CW Morse code trainer,TOOLS,,0,3.7M,10+,Paid,1.49,Everyone,Tools,18-May-18,2.0.3,2.1 and up
7775,Servidor Privado CR y CoC - Royale Servers PRO,TOOLS,,55,4.3M,100+,Paid,1.99,Everyone,Tools,24-Dec-17,1.0.3,2.3 and up
7792,Jetting for Honda CR dirt bike,SPORTS,4.1,7,3.4M,100+,Paid,3.49,Everyone,Sports,13-Apr-16,2.2,3.0 and up
7798,Jeppesen CR Flight Computer,MAPS_AND_NAVIGATION,3.3,3,26M,100+,Paid,9.99,Everyone,Maps & Navigation,5-Oct-16,1.0.8,4.4 and up
7810,CamScanner (License),PRODUCTIVITY,4.4,26358,50k,"500,000+",Paid,1.99,Everyone,Productivity,17-Jan-14,1.7,2.0 and up
7822,Asiimov Skin - CS GO Icon Pack,PERSONALIZATION,4.6,26,8.5M,100+,Paid,2.49,Everyone,Personalization,3-Dec-17,5.0.1,4.0.3 and up
7887,CT-REMOTE,GAME,3.3,19,1.6M,100+,Paid,4.49,Everyone,Action,10-Feb-15,1.4,2.3 and up
7893,Abdominal CT Sectional Walker,MEDICAL,,2,23M,100+,Paid,9.99,Everyone,Medical,8-Jul-16,1.1,4.0 and up
7894,Interactive CT and MRI Anatomy,MEDICAL,3.4,35,24M,"1,000+",Paid,15.46,Everyone,Medical,27-May-15,2.0.3,2.2 and up
7898,Chest CT Sectional Walker,MEDICAL,,2,20M,100+,Paid,9.99,Everyone,Medical,9-Jul-16,1.1,4.0 and up
7899,Radiological Anatomy For FRCR1,MEDICAL,4.8,12,44M,100+,Paid,6.99,Everyone,Medical,22-Jan-14,1.3,4.0 and up
7932,Navigator PRO - GPS Navigation with Offline Maps,TRAVEL_AND_LOCAL,3.6,892,70M,"50,000+",Paid,2.49,Everyone,Travel & Local,1-Aug-18,1.08,4.0 and up
7962,"Super Resume Builder Pro, CV",BUSINESS,4.4,244,6.9M,"1,000+",Paid,4.99,Everyone,Business,17-Aug-17,4.38,2.3 and up
7993,2 Amateur ham radio CW Morse code practice keys TX,COMMUNICATION,4.8,6,3.5M,100+,Paid,1.49,Everyone,Communication,5-Mar-18,1.0.9,1.6 and up
7997,CW Beacon for Ham Radio,COMMUNICATION,4.8,10,516k,100+,Paid,1.49,Everyone,Communication,22-Jan-15,KM,1.6 and up
7999,Morse Decoder for Ham Radio,COMMUNICATION,3.7,166,2.0M,"5,000+",Paid,4.99,Everyone,Communication,14-Mar-17,1.52,2.3 and up
8004,20WPM Amateur ham radio Koch CW Morse code trainer,COMMUNICATION,4.3,12,3.7M,100+,Paid,1.49,Everyone,Communication,22-May-18,3.0.4,2.1 and up
8006,Morse Trainer for Ham Radio,COMMUNICATION,4.6,265,2.6M,"10,000+",Paid,2.99,Everyone,Communication,6-Jan-18,2.28,2.3 and up
8013,Pocket RxTx Pro,PRODUCTIVITY,4.3,253,Varies with device,"5,000+",Paid,3.99,Everyone,Productivity,4-Mar-18,Varies with device,Varies with device
8014,Morse Player,FAMILY,5.0,12,2.4M,100+,Paid,1.99,Everyone,Education,23-Jan-17,2.1.1,3.0 and up
8017,CW Ringtone (Morse Code generator),COMMUNICATION,,0,269k,10+,Paid,2.49,Everyone,Communication,16-Mar-18,1.0.2,2.2 and up
8018,30WPM Amateur ham radio Koch CW Morse code trainer,FAMILY,5.0,1,3.7M,10+,Paid,1.49,Everyone,Education,18-May-18,2.0.2,2.1 and up
8019,Learn CW,FAMILY,,0,21M,1+,Paid,2.49,Everyone,Education,6-Apr-18,1.1,4.3 and up
8021,Koch Morse Trainer Pro,COMMUNICATION,4.6,94,1.1M,"1,000+",Paid,2.49,Everyone,Communication,14-Feb-15,2.1.1,2.2 and up
8051,TI-Nspire CX Calculator Manual,FAMILY,3.9,11,27M,500+,Paid,4.99,Everyone,Education,21-Jul-18,1.3.0,4.1 and up
8074,Absolute RC Heli Simulator,SPORTS,3.9,654,50M,"10,000+",Paid,4.99,Everyone,Sports,20-Dec-17,3.29,4.1 and up
8077,go41cx,FAMILY,4.8,171,1.0M,"1,000+",Paid,10.0,Everyone,Education,18-Oct-16,1.7.0,2.2 and up
8085,Cytus II,GAME,4.7,16851,81M,"100,000+",Paid,1.99,KIDS,Music,3-Aug-18,1.5.0,4.4 and up
8137,CZ-70 (CZ-50) pistol explained,BOOKS_AND_REFERENCE,,2,17M,10+,Paid,5.99,Everyone,Books & Reference,2-Nov-16,Android 2.1 - 2015,1.6 and up
8139,CZ-52 pistol explained,BOOKS_AND_REFERENCE,,0,9.3M,10+,Paid,5.99,Everyone,Books & Reference,3-Sep-15,Android 3.0 - 2015,1.6 and up
8140,CZ-27 pistol explained,BOOKS_AND_REFERENCE,,1,11M,10+,Paid,5.99,Everyone,Books & Reference,2-Sep-15,Android 3.0 - 2015,1.6 and up
8145,CZ-45 pistol explained,BOOKS_AND_REFERENCE,,1,12M,10+,Paid,5.49,Everyone,Books & Reference,10-Aug-17,Android 3.1 - 2015,1.6 and up
8149,CZ-Cyberon Voice Commander,TOOLS,3.8,131,3.3M,"1,000+",Paid,5.99,Everyone,Tools,7-Mar-17,3.2.17030601,2.2 and up
8150,Pistolet CZ-70 CZ-50 expliqué,BOOKS_AND_REFERENCE,,0,17M,1+,Paid,5.99,Everyone,Books & Reference,1-Nov-16,Android 2.0 - 2016,1.6 and up
8151,CZ-38 (vz 38) pistol explained,BOOKS_AND_REFERENCE,,0,13M,5+,Paid,5.99,Everyone,Books & Reference,10-Aug-17,Android 3.1 - 2017,1.6 and up
8164,Tools & Mi Band,HEALTH_AND_FITNESS,4.4,15753,13M,"100,000+",Paid,3.49,Everyone,Health & Fitness,26-Jul-18,3.7.3,4.3 and up
8171,The House of Da Vinci,FAMILY,4.8,12400,Varies with device,"100,000+",Paid,4.99,Everyone,Puzzle,14-Jun-18,1.0.4,4.1 and up
8176,King of Math,FAMILY,4.4,766,14M,"10,000+",Paid,2.99,Everyone,Education;Education,22-May-18,1.0.11,2.2 and up
8191,Peppa Pig: Party Time,FAMILY,3.8,52,55M,"10,000+",Paid,2.99,Everyone,Educational;Pretend Play,8-Aug-17,1.2.1,2.3 and up
8211,ACCDB MDB DB Manager Pro - Editor for MS Access,PRODUCTIVITY,3.1,19,4.5M,500+,Paid,8.99,Everyone,Productivity,3-Nov-16,1.0.8,4.0 and up
8212,Scale Models DB,TOOLS,4.4,9,33M,50+,Paid,2.99,Everyone,Tools,3-May-18,0.6.2,4.3 and up
8236,LC-DB,PHOTOGRAPHY,3.0,1,2.5M,10+,Paid,3.49,Everyone,Photography,20-Oct-17,1,4.2 and up
8242,db Meter - sound level meter with data logging,TOOLS,,0,15M,1+,Paid,1.49,Everyone,Tools,15-Mar-18,1.0.1,4.1 and up
8251,LEGO Batman: DC Super Heroes,FAMILY,4.2,2557,5.8M,"50,000+",Paid,4.99,KIDS,Adventure;Action & Adventure,9-May-16,Varies with device,4.0.3 and up
8282,D.C. Driving/Walking Tours,TRAVEL_AND_LOCAL,,0,32M,50+,Paid,4.99,Everyone,Travel & Local,27-Jul-18,3.8.0,4.4 and up
8286,DC Metro Transit,TRAVEL_AND_LOCAL,4.5,339,10M,"5,000+",Paid,2.99,Everyone,Travel & Local,13-May-18,5.11.3,4.1 and up
8287,AC DC Power Monitor,LIFESTYLE,5.0,1,1.2M,10+,Paid,3.04,Everyone,Lifestyle,29-May-16,1.2,2.3 and up
8321,Myth Defense 2: DF Platinum,FAMILY,4.6,1764,8.3M,"10,000+",Paid,3.99,KIDS,Strategy,22-Jun-16,1.3.8,2.3.3 and up
8328,Guide to Nikon Df,PHOTOGRAPHY,,1,663k,10+,Paid,29.99,Everyone,Photography,18-Feb-14,2.0.0,4.0.3 and up
8346,Técnico Legislativo Câmara Legislativa DF,PRODUCTIVITY,,1,10M,10+,Paid,2.99,Everyone,Productivity,29-Jun-18,6,4.0.3 and up
8348,Cargo de Praça PM DF,PRODUCTIVITY,,0,5.2M,10+,Paid,2.99,Everyone,Productivity,7-May-18,3,4.0 and up
8350,Droidbug BusyBox Advance PRO,TOOLS,4.5,2,3.3M,100+,Paid,3.99,Everyone,Tools,19-Jul-18,1.4,4.0.3 and up
8362,Penny Finder,SHOPPING,4.2,470,4.1M,"10,000+",Paid,2.99,Everyone,Shopping,17-Jul-18,1.3.7,4.1 and up
8364,DG Surveyor,BUSINESS,3.6,5,6.8M,50+,Paid,8.99,Everyone,Business,30-Apr-18,6,4.0.3 and up
8368,Penny Puss,TOOLS,3.0,19,22M,"1,000+",Paid,4.99,Everyone,Tools,9-Jul-16,1.911.1944.4606,4.0 and up
8371,ZombieVital DG,FAMILY,4.3,10,20M,100+,Paid,12.99,Everyone,Simulation,4-Aug-18,Varies with device,Varies with device
8376,The DG Buddy,BUSINESS,3.7,3,11M,10+,Paid,2.49,Everyone,Business,30-Jun-14,v3,2.2 and up
8449,Cameringo+ Filters Camera,PHOTOGRAPHY,4.6,28107,5.7M,"500,000+",Paid,2.99,Everyone,Photography,11-Jun-18,2.8.26,4.0 and up
8482,Fodbold DK Pro,SPORTS,4.6,315,4.3M,"1,000+",Paid,2.99,Everyone,Sports,6-Jun-18,2.106.0,4.0 and up
8511,Advanced Download Manager Pro,TOOLS,4.7,6505,2.0M,"50,000+",Paid,2.99,Everyone,Tools,3-Nov-17,6.4.0,4.0 and up
8555,Dungeons and Dragons DM Tools,BOOKS_AND_REFERENCE,3.1,50,4.9M,"1,000+",Paid,1.99,Everyone,Books & Reference,22-Feb-17,2,2.3 and up
8574,Basketball Dynasty Manager 16,SPORTS,4.4,426,21M,"5,000+",Paid,1.99,Everyone,Sports,1-Jun-16,2.2.3,4.0 and up
8590,MultiPicture Live Wallpaper dn,PERSONALIZATION,4.3,505,288k,"10,000+",Paid,1.99,Everyone,Personalization,10-Feb-13,0.6.11,2.1 and up
8604,Writing Wizard Premium - Handwriting,FAMILY,4.1,89,33M,"5,000+",Paid,4.49,Everyone,Education;Education,3-Dec-17,2.5.0,4.0.3 and up
8616,MC.Fitting,PRODUCTIVITY,,130,3.4M,"1,000+",Paid,8.49,Everyone,Productivity,3-May-17,12,1.6 and up
8618,Day Night Live Wallpaper (All),PERSONALIZATION,4.7,4856,18M,"50,000+",Paid,2.49,Everyone,Personalization,31-Jan-18,1.5.3,4.0 and up
8719,DRAGON QUEST VIII,FAMILY,4.5,7812,27M,"50,000+",Paid,19.99,KIDS,Role Playing,4-Apr-17,1.1.4,4.0 and up
8721,DRAGON QUEST III,FAMILY,4.2,1661,63M,"10,000+",Paid,9.99,Everyone,Role Playing,9-Mar-18,1.0.5,4.0 and up
8722,LightMeter (noAds),PHOTOGRAPHY,4.6,617,12M,"10,000+",Paid,1.99,Everyone,Photography,22-Nov-16,1.5.10.NA,3.2 and up
8723,DRAGON QUEST,FAMILY,4.2,9659,30M,"100,000+",Paid,2.99,Everyone,Role Playing,10-Mar-17,1.0.7,2.3 and up
8724,DRAGON QUEST II,FAMILY,4.5,2576,44M,"10,000+",Paid,4.99,Everyone,Role Playing,9-Mar-18,1.0.5,4.0 and up
8726,DRAGON QUEST VI,FAMILY,4.4,3358,17M,"100,000+",Paid,14.99,Everyone,Role Playing,1-Aug-18,1.0.4,2.3 and up
8733,CHRONO TRIGGER (Upgrade Ver.),FAMILY,3.8,11250,6.3M,"100,000+",Paid,9.99,KIDS,Role Playing,12-Jun-18,2.0.4,4.2 and up
8736,FINAL FANTASY DIMENSIONS,FAMILY,4.3,8450,1.1M,"100,000+",Paid,13.99,Everyone,Role Playing,15-Mar-17,1.1.3,2.3.3 and up
8777,Dr. Panda Farm,FAMILY,4.1,265,46M,"10,000+",Paid,2.99,Everyone,Education;Pretend Play,21-Jul-16,1,4.0 and up
8778,DR.MEEP,FAMILY,4.4,54,33M,500+,Paid,2.99,Everyone,Puzzle,29-Jun-18,1.2,4.1 and up
8779,Dr. Panda Art Class,FAMILY,4.2,1013,58M,"50,000+",Paid,2.99,Everyone,Education;Creativity,26-Apr-17,1.7,4.0 and up
8780,Dr. Panda's Swimming Pool,FAMILY,4.4,2311,9.3M,"100,000+",Paid,1.99,Everyone,Casual;Pretend Play,15-Jan-15,1.01,4.0 and up
8785,Dr. Panda & Toto's Treehouse,FAMILY,4.4,3397,9.5M,"50,000+",Paid,3.99,Everyone,Casual;Pretend Play,9-Dec-14,1.8,4.0 and up
8792,Dr. McDougall Mobile Cookbook,HEALTH_AND_FITNESS,3.8,76,1.2M,"1,000+",Paid,4.99,Everyone,Health & Fitness,26-Jan-15,1.1,2.2 and up
8793,Dr. Seuss's ABC,FAMILY,4.7,429,12M,"10,000+",Paid,3.99,Everyone,Books & Reference;Education,26-Feb-18,2.05,4.0.3 and up
8795,Dr. Panda Hospital,FAMILY,4.4,1091,45M,"50,000+",Paid,2.99,Everyone,Education;Pretend Play,5-Dec-13,1.6,2.0.1 and up
8800,Dr. Panda Restaurant 2,FAMILY,4.3,3725,67M,"100,000+",Paid,2.99,Everyone,Educational;Pretend Play,17-Feb-16,1.96,4.0 and up
8801,Dr. Panda Supermarket,FAMILY,4.2,1357,58M,"50,000+",Paid,2.99,Everyone,Educational;Pretend Play,16-Feb-16,1.6,4.0 and up
8804,DraStic DS Emulator,GAME,4.6,87766,12M,"1,000,000+",Paid,4.99,Everyone,Action,19-Jul-16,r2.5.0.3a,2.3 and up
8823,DS Helpdesk Plus,BUSINESS,3.6,21,Varies with device,100+,Paid,12.99,Everyone,Business,30-Jan-17,Varies with device,Varies with device
8825,Ability DS UNO,PRODUCTIVITY,,3,2.3M,50+,Paid,2.6,Everyone,Productivity,19-May-14,1,1.5 and up
8841,Deep Sleep Battery Saver Pro,TOOLS,3.9,1417,2.9M,"10,000+",Paid,3.28,Everyone,Tools,15-Aug-17,5.1,4.1 and up
8845,PhotoFrame for Synology DS,PHOTOGRAPHY,4.0,1,2.6M,10+,Paid,4.99,Everyone,Photography,2-Feb-17,1.5,4.0 and up
8853,Real Sheet ∞: Pathfinder + DT,FAMILY,3.5,2,22M,50+,Paid,2.99,Everyone,Role Playing,20-Mar-17,1.1,4.2 and up
8860,Bloons TD 5,FAMILY,4.6,190086,94M,"1,000,000+",Paid,2.99,Everyone,Strategy,13-Jul-18,3.16,2.3.3 and up
8879,Riptide GP: Renegade,GAME,4.7,4328,Varies with device,"100,000+",Paid,2.99,KIDS,Racing,1-Jun-18,1.2.1,4.1 and up
8887,The Secret Daily Teachings,LIFESTYLE,4.3,206,32M,"1,000+",Paid,4.99,Everyone,Lifestyle,11-Feb-18,14,4.0.3 and up
8890,Dirt Trackin Sprint Cars,GAME,3.8,499,47M,"10,000+",Paid,3.99,Everyone,Racing,10-May-18,1.0.13,5.0 and up
8912,Weather Forecast Pro,WEATHER,4.7,14051,8.7M,"100,000+",Paid,3.99,Everyone,Weather,4-Aug-18,8.5,4.0 and up
8927,Officiel du SCRABBLE LAROUSSE,BOOKS_AND_REFERENCE,3.4,116,48M,"5,000+",Paid,4.6,Everyone,Books & Reference,13-Oct-16,1.4,2.3 and up
8950,iCam - Webcam Video Streaming,TOOLS,3.7,770,2.4M,"10,000+",Paid,4.99,Everyone,Tools,7-Oct-16,1.6.7,2.3 and up
9010,RETRO Shocked DW-6000,PERSONALIZATION,5.0,13,500k,100+,Paid,1.49,Everyone,Personalization,4-Apr-17,1.2,2.3 and up
9026,PORTABLE SOCCER DX,SPORTS,4.4,552,1.6M,"5,000+",Paid,1.0,Everyone,Sports,19-Jun-18,3.4,2.2 and up
9030,KeePass DX Pro,TOOLS,,0,Varies with device,100+,Paid,5.99,Everyone,Tools,2-Aug-18,Varies with device,Varies with device
9045,Active Soccer 2 DX,SPORTS,3.6,28,48M,500+,Paid,2.99,Everyone,Sports,28-Mar-17,1.0.3,1.5 and up
9054,Bubble Shooter DX AdFree,FAMILY,,1,2.1M,50+,Paid,2.99,Everyone,Casual,31-May-16,1.02,2.3 and up
9063,Unstoppaball DX,FAMILY,4.2,5,40M,50+,Paid,1.49,Everyone,Puzzle,20-May-14,1.7,2.0.1 and up
9064,Differential Dx,MEDICAL,4.0,8,Varies with device,500+,Paid,3.99,Everyone,Medical,19-Jan-18,Varies with device,Varies with device
9065,Sokoban Land DX,FAMILY,3.9,46,20M,"10,000+",Paid,2.99,Everyone,Puzzle,29-Jan-18,1.0.6,2.3 and up
9082,Train Sim Pro,FAMILY,4.0,1763,Varies with device,"10,000+",Paid,1.49,Everyone,Simulation;Pretend Play,25-Jun-18,3.9.9,4.1 and up
9101,amm dz,FINANCE,,0,14M,1+,Paid,5.99,Everyone,Finance,8-Jul-18,1,4.2 and up
9104,Dz kayas,FINANCE,,0,14M,1+,Paid,28.99,Everyone,Finance,12-Jul-18,1,4.2 and up
9154,NBA JAM by EA SPORTS™,FAMILY,4.3,56444,43M,"500,000+",Paid,4.99,Everyone,Sports;Action & Adventure,8-Feb-17,04.00.40,2.3 and up
9220,Electrician Calculator Pro,TOOLS,3.9,47,270k,"1,000+",Paid,14.99,Everyone,Tools,3-Jun-14,3.1,1.6 and up
9227,EC music dictionary,TOOLS,4.4,20,2.2M,500+,Paid,1.99,Everyone,Tools,29-Dec-14,2.1,3.0 and up
9294,EF Lens Simulator,PHOTOGRAPHY,,2,33M,100+,Paid,9.99,Everyone,Photography,27-Feb-17,2.8.3.1,2.2 and up
9304,Carrier Landings Pro,FAMILY,4.6,5969,31M,"10,000+",Paid,12.99,Everyone,Simulation,29-Jun-18,4.2.4,4.1 and up
9334,EG Classroom Decimals™,FAMILY,3.0,2,18M,50+,Paid,2.99,Everyone,Education;Education,12-Jun-17,2.2.2,2.2 and up
9337,EG | Explore Folegandros,TRAVEL_AND_LOCAL,,0,56M,0+,Paid,3.99,Everyone,Travel & Local,22-Jan-17,1.1.1,4.1 and up
9357,Inventory & Barcode scanner & WIFI scanner,PRODUCTIVITY,4.6,1880,18M,"50,000+",Paid,1.49,Everyone,Productivity,1-Jul-18,6.08,4.3 and up
9409,Vital Tones EI Pro,HEALTH_AND_FITNESS,,2,85M,50+,Paid,9.99,Everyone,Health & Fitness,1-Dec-17,1.4,4.0 and up
9465,Silence Premium Do Not Disturb,TOOLS,4.5,3356,Varies with device,"10,000+",Paid,2.95,Everyone,Tools,17-Feb-18,Varies with device,Varies with device
9470,Learn Music Notes,FAMILY,4.7,143,4.4M,"1,000+",Paid,1.99,Everyone,Music;Music & Video,17-Jun-18,1.2.1,2.2 and up
9478,Farming Simulator 16,FAMILY,4.2,32812,14M,"500,000+",Paid,2.99,Everyone,Simulation;Education,10-Apr-18,1.1.1.6,4.0.3 and up
9480,WIZARD Card Game,GAME,4.0,48,4.1M,"1,000+",Paid,1.99,Everyone,Card,15-Dec-14,1.0.141215,2.1 and up
9490,WiFi Tether Router,COMMUNICATION,4.2,5599,1.3M,"100,000+",Paid,2.9,Everyone,Communication,2-Jul-18,6.2.7,1.6 and up
9550,Monastery of El Escorial,TRAVEL_AND_LOCAL,,12,50M,"1,000+",Paid,1.99,Everyone,Travel & Local,30-May-16,1,4.0 and up
9566,Trazado de tuberia El Tubero,TOOLS,4.5,313,4.4M,"10,000+",Paid,1.97,Everyone,Tools,29-Mar-15,4.1,1.5 and up
9569,The Game of Life,GAME,4.4,18652,63M,"100,000+",Paid,2.99,Everyone,Board,4-Jul-18,2.1.2,4.4 and up
9574,Human Anatomy Atlas 2018: Complete 3D Human Body,MEDICAL,4.5,2923,25M,"100,000+",Paid,24.99,Everyone,Medical,25-May-18,2018.5.47,5.0 and up
9586,EM Launcher Pro,PERSONALIZATION,4.2,35,24k,"1,000+",Paid,3.99,Everyone,Personalization,2-Apr-16,1,4.1 and up
9613,LocaToWeb - Live GPS tracking,SPORTS,4.6,200,3.0M,"1,000+",Paid,2.49,Everyone,Sports,2-Aug-18,3.9.1,5.0 and up
9627,ai.type keyboard Plus + Emoji,TOOLS,4.5,57076,35M,"100,000+",Paid,4.49,Everyone,Tools,24-Jul-18,Paid-9.4.1.3,4.1 and up
9647,The EO Bar,HEALTH_AND_FITNESS,4.7,416,34M,"10,000+",Paid,6.99,Everyone,Health & Fitness,2-Jul-18,1.3.7,4.1 and up
